,NOME,VALOR,DETALHES,ENDEREÇO
117,"Apartamento para Locação em Natal, Tirol, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas",R$ 2.000,"['3 quartos ', ' 100m² ', ' 2 vagas']",Tirol
118,"Apartamento com 2 dormitórios para alugar, 80 m² - Neópolis - Natal/RN - AP0503",R$ 1.000,"['2 quartos ', ' 80m² ', ' Condomínio: R$ 140 ', ' 1 vaga']",Neópolis
119,"Apartamento com 4 dormitórios para alugar, 245 m² por R$ 3.500,00/mês - Candelária - Natal",R$ 3.500,"['4 quartos ', ' 245m² ', ' Condomínio: R$ 1.500 ', ' 3 vagas']",Candelária
120,"Apartamento com 3 dormitórios para alugar, 72 m² por R$ 1.595,94/ano - Neópolis - Natal/RN",R$ 1.595,"['3 quartos ', ' 72m² ', ' Condomínio: R$ 385']",Neópolis
121,Apt 2/4 para estudantes,R$ 950,"['2 quartos ', ' 48m² ', ' Condomínio: R$ 0']",Candelária
122,"Apartamento com 2 dormitórios para alugar, 60 m² por R$ 850,00/mês - Capim Macio - Natal/R",R$ 850,"['2 quartos ', ' 60m² ', ' 1 vaga']",Capim Macio
123,"kit Net com Garagem, próximo a Guararapes",R$ 330,"['1 quarto ', ' 36m² ', ' 1 vaga']",Nossa Senhora da Apresentação
124,Ap Andar Alto em Lagoa Nova,R$ 1.700,"['2 quartos ', ' 2 vagas']",Lagoa Nova
125,Alugo apartamento 2/4 em candelária com dependência completa com garagem coberta,R$ 1.100,"['2 quartos ', ' 84m² ', ' 1 vaga']",Candelária
126,Aluga.se kit net 250.00,R$ 250,['1 quarto'],Nossa Senhora da Apresentação
127,Alugo apartamento com 03 quartos ao Lado da Natal Veículos,R$ 1.200,"['3 quartos ', ' 70m² ', ' 1 vaga']",Candelária
128,PR - Apartamento para locação no Condomínio Vita Residencial Clube T Florença,R$ 1.450,"['2 quartos ', ' 0m² ', ' 1 vaga']",Pitimbu
129,Apartamento em Ponta Negra com 2 quartos,R$ 2.100,"['2 quartos ', ' 0m²']",Ponta Negra
130,"Apartamento com 2 dormitórios para alugar, 54 m² por R$ 1.300/mês - Ponta Negra - Natal/RN",R$ 1.300,"['2 quartos ', ' 54m²']",Ponta Negra
131,Final do Ano em Natal RN,R$ 1.500,"['4 quartos ', ' 176m² ', ' Condomínio: R$ 1.280 ', ' 2 vagas']",Tirol
132,Lindo apartamento mobiliado vista mar,R$ 2.600,"['2 quartos ', ' 1 vaga']",Ponta Negra
133,Pallazo Barro Vermelho com moveis,R$ 3.200,"['3 quartos ', ' 80m² ', ' 2 vagas']",Barro Vermelho
134,"Residencial Califórnia - Lagoa Nova - Apartamento de 2/4 com 54m², para Locação e Venda",R$ 1.250,"['2 quartos ', ' 54m² ', ' 1 vaga']",Lagoa Nova
135,"Apartamento para alugar com 2 dormitórios em Candelária, Natal cod:1818",R$ 880,"['2 quartos ', ' 60m² ', ' Condomínio: R$ 250 ', ' 2 vagas']",Candelária
136,"Alugo apt 3/4 sendo 1 suíte+ dependência, Lagoa Nova",R$ 2.800,"['3 quartos ', ' 92m² ', ' 2 vagas']",Lagoa Nova
137,"Ayambra Flat, com 1/4, mobiliado, climatizado, com vista para o mar, Natal/RN",R$ 1.100,"['1 quarto ', ' 36m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Rocas
138,Aluguel Apartamento Mobiliado Ponta Negra Natal RN,R$ 950,"['1 quarto ', ' 36m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
139,"Apart 2/4 em Ponta Negra de 1800,00 por 1700,00 sem mobília alto Padrão *",R$ 1.700,"['2 quartos ', ' 57m²']",Ponta Negra
140,Apto em Promoção por 5 meses - Ao Lado do Natal Shopping/Carrefour - 84.996809.2882,R$ 1.300,"['3 quartos ', ' 100m² ', ' 2 vagas']",Candelária
141,"Apartamento para alugar com 1 dormitórios em Cidade alta, Natal cod:AA-102",R$ 420,"['1 quarto ', ' 19m²']",Cidade Alta
142,APTO PONTA NEGRA,R$ 600,"['2 quartos ', ' 50m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
143,"Apartamento para alugar com 4 dormitórios em Barro vermelho, Natal cod:AA-70",R$ 1.400,"['4 quartos ', ' 57m² ', ' 1 vaga']",Barro Vermelho
144,Dividir apartamento,,"['2 quartos ', ' 0m²']",Ponta Negra
145,"Apartamento para alugar com 2 dormitórios em Capim macio, Natal cod:815466",R$ 1.200,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 265 ', ' 1 vaga']",Capim Macio
146,Alugo lindo apartamento em ótima localização,R$ 1.500,"['2 quartos ', ' 80m² ', ' 2 vagas']",Lagoa Nova
147,"Apartamento com 3 dormitórios para alugar, 93 m² por R$ 1.700,00/mês - Capim Macio - Natal",R$ 1.700,"['3 quartos ', ' 93m² ', ' 2 vagas']",Capim Macio
148,"Alugo Apartamento de R$ 400,00 no Planalto",R$ 400,"['3 quartos ', ' 40m² ', ' 1 vaga']",Planalto
149,"Apartamento para alugar com 2 dormitórios em Tirol, Natal cod:6515",R$ 1.000,"['2 quartos ', ' 56m² ', ' Condomínio: R$ 390 ', ' 1 vaga']",Tirol
150,PR - Apartamento para aluguel e venda no Residencial Cabugi,R$ 1.800,['0m²'],Lagoa Nova
151,PR - Apartamento no Vita Residencial Clube - Torre Napolis,R$ 1.600,"['2 quartos ', ' 49m² ', ' 1 vaga']",Pitimbu
152,"Apartamento para alugar com 1 dormitórios em Cidade alta, Natal cod:AA-101",R$ 410,"['1 quarto ', ' 19m²']",Cidade Alta
153,"Apartamento para alugar com 2 dormitórios em Neópolis, Natal cod:821988",R$ 1.000,"['2 quartos ', ' 57m² ', ' Condomínio: R$ 300 ', ' 1 vaga']",Neópolis
154,Venda/Aluguel - Apartamento em Ponta Negra - 2/4 Suíte - 55m² - Residencial Poeta,R$ 1.802,"['2 quartos ', ' 58m²']",Ponta Negra
